nom,nom2,adresse,retty,url,fb,mail
"ボンシュマ",,"東京都","https://retty.me/area/PRE13/ARE665/SUB2002/100000079303/","http://www.bonchemin.com/",,,
"ピエール・ガニェール",,"東京都","https://retty.me/area/PRE13/ARE18/SUB1801/100000748330/","http://www.anaintercontinental-tokyo.jp/pierre_gagnaire/index.html",,,
"ケンゾーエステートワイナリー 六本木ヒルズ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1401/100000851452/","http://www.kenzoestate.jp/features/special07.php",,,
"サラマンジェ・ド・イザシ・ワキサカ",,"東京都","https://retty.me/area/PRE13/ARE2/SUB201/100000037862/","http://salle-a-manger.de-blog.jp/",,,
"リベルテアターブルドタケダ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1405/100000072514/",,"https://www.facebook.com/LiberteATableDeTakeda/",,
"sio",,"東京都","https://retty.me/area/PRE13/ARE664/SUB111/100000804416/","https://www.instagram.com/sioyoyogiuehara/?hl=ja","https://www.facebook.com/sioyoyogiuehara/",,
"モノリ",,"東京都","https://retty.me/area/PRE13/ARE8/SUB805/100000036486/","http://le-monolith.com/",,,
"ジョンティアッシュ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1404/100000011345/","http://www.gentil-h.com/",,,
"コーダリー",,"東京都","https://retty.me/area/PRE13/ARE9/SUB901/100000716555/","http://restaurant-caudalie.com/",,,
"北島亭",,"東京都","https://retty.me/area/PRE13/ARE6/SUB603/100000020283/",,"https://www.facebook.com/pages/%E5%8C%97%E5%B3%B6%E4%BA%AD/169881676390544",,
"レストラン・ランス・ヤナギダテ",,"東京都","https://retty.me/area/PRE13/ARE23/SUB2302/100000110376/","http://reims.co.jp/",,,
"富士屋ホテル",,"神奈川県","https://retty.me/area/PRE14/ARE30/SUB3002/100000044393/","http://www.fujiyahotel.jp/",,,
